Python爬虫/反爬开发实习（可转正）,购物党,南京,4天/周6个月本科,Python,,200-400元/天,https://www.zhipin.com/job_detail/70da416ffc9b13341nV53N68FFtX.html
高薪诚聘网络爬虫大牛,鼎尖软件,深圳·南山区·南山中心,3-5年本科,爬虫,交通补助，带薪年假，节日福利，加班补助，员工旅游，零食下午茶，通讯补贴，五险一金,15-20K·13薪,https://www.zhipin.com/job_detail/771e95dbd2b677b61nJ729S-GVNQ.html
爬虫工程师（实习）,中数智能,长沙·岳麓区·麓谷,经验不限大专,网络爬虫技术,,2-4K,https://www.zhipin.com/job_detail/bb1dc32a2035fac61XR43tm5FlFX.html
量化策略研发实习生,博易大师,上海·浦东新区·联洋,3天/周3个月本科,量化,定期体检，年终奖，五险一金，带薪年假，员工旅游,100-200元/天,https://www.zhipin.com/job_detail/ab3887aea8094a1a1XR-3tS1F1VZ.html
python爬虫,福建万商堂科技股...,厦门·思明区·莲花,5天/周6个月本科,Linux,加班计算加班，周末双休，五险一金，年终奖，员工旅游，节日福利,120-230元/天,https://www.zhipin.com/job_detail/0441aa23143d867e1XR439m-E1JZ.html
爬虫工程师,浙江省北大信研院,杭州·萧山区·钱江世纪城,5天/周3个月本科,分布式技术,节日福利，定期体检，补充医疗保险，年终奖，带薪年假，股票期权，员工旅游，五险一金，零食下午茶，加班补助,150-200元/天,https://www.zhipin.com/job_detail/6447222996f860b81n142N-9GFFQ.html
爬虫工程师（校招）,谷川联行,天津·西青区·中北,在校/应届本科,网络爬虫技术,全勤奖，零食下午茶，五险一金，交通补助，年终奖，通讯补贴，带薪年假，定期体检，员工旅游，节日福利,7-8K·13薪,https://www.zhipin.com/job_detail/3c991dd75168bfa21n163tS7GFpX.html
python爬虫,稷生科技,广州·天河区·天河公园,在校/应届本科,爬虫工程师,带薪年假，定期体检，加班补助，五险一金，年终奖,3-4K,https://www.zhipin.com/job_detail/f2f828f6e17d121333x92Nu1FlI~.html
爬虫工程师（远程线上办公）,维森大数据,郑州·金水区·郑州东站,5天/周3个月本科,网络爬虫技术,加班补助，五险一金，节日福利，股票期权，带薪年假，年终奖,150-200元/天,https://www.zhipin.com/job_detail/e94e6928d3ed05c61XR509m-GVFZ.html
数据工程师（爬虫）,尘宇空间,北京·海淀区·航天桥,在校/应届本科,网络爬虫技术,年终奖，五险一金，节日福利，定期体检，交通补助，设备补贴，带薪年假，股票期权，支持远程工作，有竞争力薪酬,15-28K,https://www.zhipin.com/job_detail/6c126e2f1c2aa3a81n1y2ti1FVJW.html
爬虫工程师,墨菲安全,北京·海淀区·五道口,5天/周4个月本科,网络爬虫技术,员工旅游，五险一金，股票期权，零食下午茶，带薪年假，节日福利，餐补，年终奖,240-250元/天,https://www.zhipin.com/job_detail/20373329d62d81b81XR_29q5F1pQ.html
python 实习生,悦动天下科技,深圳·南山区·科技园,5天/周6个月本科,数据结构,节日福利，股票期权，定期体检，五险一金，零食下午茶，带薪年假，交通补助，年终奖，餐补，员工旅游,200-250元/天,https://www.zhipin.com/job_detail/a30c5805eddba9b61nJ40ti9FVBZ.html
Python开发工程师 实习生,边缘智能研究院,南京,5天/周6个月本科,网络爬虫技术,节日福利，带薪年假，定期体检，五险一金，加班补助，包吃,100-200元/天,https://www.zhipin.com/job_detail/f0982bdab352c6f81nN529u-GVVV.html
Python爬虫技术实习岗,千际投资,上海,1-3年大专,网络爬虫技术,,1-6K,https://www.zhipin.com/job_detail/1313bbbfae447ea61nB-3tq0ElBW.html
python实习生,梭翱信息技术有限公司,上海·普陀区·长征,5天/周6个月学历不限,网络爬虫技术,周末双休，商业保险，带薪年假，五险一金，餐补，员工旅游，节日福利，季度拓展，生日会，股票期权，零食下午茶，奖金,300-350元/天,https://www.zhipin.com/job_detail/948fe16a713bbef51nx53dy9GFFY.html
实习生,锐捷网络,福州·闽侯县·新西客站,4天/周4个月本科,容器技术,补充医疗保险，五险一金，年终奖，通讯补贴，免费班车，零食下午茶，员工旅游，带薪年假，交通补助，加班补助，包吃，节日福利，定期体检，餐补,100-130元/天,https://www.zhipin.com/job_detail/1426b53ea59983ec1XV73d69FlFS.html
实习生,好奇谷,深圳·南山区·华侨城,4天/周6个月本科,Python,节日福利，员工旅游，定期体检，带薪年假，五险一金，加班补助,100-150元/天,https://www.zhipin.com/job_detail/dfd201f6f759bd820XV-29W5F1s~.html
实习生,东莞证券,上海·浦东新区·花木,4天/周3个月本科,Python,,150-200元/天,https://www.zhipin.com/job_detail/6b8752f01a9cdf3f1nV73t6_F1RZ.html
python实习生,协助网络,合肥·蜀山区·政务区,5天/周3个月本科,网络爬虫技术,节日福利，全勤奖，补充医疗保险，年终奖，加班补助，五险一金，免费班车，股票期权，员工旅游，带薪年假,100-140元/天,https://www.zhipin.com/job_detail/067222eb0852aa091XRz2ty8FVZR.html
实习生,北京双湃智安科技...,沈阳·和平区·三好街,4天/周3个月本科,Python,节日福利，住房补贴，定期体检，带薪年假，餐补，股票期权，包吃，交通补助，五险一金，员工旅游，零食下午茶，年终奖,100-150元/天,https://www.zhipin.com/job_detail/922bdd88db372b120HR43NW0GVI~.html
Python实习生,潍坊飞塔思,潍坊·奎文区·高新区,4天/周3个月学历不限,Linux,零食下午茶，节日福利，大牛带队，带薪年假，员工旅游，年终奖，五险一金,100-150元/天,https://www.zhipin.com/job_detail/3feb8649fb8229c31XRz2ty6FlRU.html
